Title,Genre,Director,Runtime,Revenue,AvgRating
Pan's Labyrinth,Drama,Guillermo del Toro,118,37.6,90
12 Years a Slave,Biography,Steve McQueen,134,56.7,89
Inside Out,Animation,Pete Docter,95,356.5,88
No Country for Old Men,Crime,Ethan Coen,122,74.3,86
The Dark Knight,Action,Christopher Nolan,152,533.3,86
The Grand Budapest Hotel,Adventure,Wes Anderson,99,59.1,85
Birdman or (The Unexpected Virtue of Ignorance),Comedy,Alejandro González Iñárritu,119,42.3,83
Django Unchained,Drama,Quentin Tarantino,165,162.8,83
American Hustle,Crime,David O. Russell,138,150.1,82
The Martian,Adventure,Ridley Scott,144,228.4,81
Hunt for the Wilderpeople,Adventure,Taika Waititi,101,5.2,80
Skyfall,Action,Sam Mendes,143,304.4,80
Midnight in Paris,Comedy,Woody Allen,94,56.8,79
Drive,Crime,Nicolas Winding Refn,100,35.1,78
Drive,Crime,Nicolas Winding Refn,100,35.1,78
Ex Machina,Drama,Alex Garland,108,25.4,78
Captain America: Civil War,Action,Anthony Russo,147,408.1,77
Hacksaw Ridge,Biography,Mel Gibson,139,67.1,77
Source Code,Mystery,Duncan Jones,93,54.7,76
Big Hero 6,Animation,Don Hall,102,222.5,76
It Follows,Horror,David Robert Mitchell,100,14.7,76
The Hangover,Comedy,Todd Phillips,100,277.3,76
What We Do in the Shadows,Comedy,Jemaine Clement,86,3.3,76
Flight,Drama,Robert Zemeckis,138,93.8,75
Frozen,Animation,Chris Buck,102,400.7,75
The Ghost Writer,Mystery,Roman Polanski,128,15.5,75
Zombieland,Adventure,Ruben Fleischer,88,75.6,75
The Gift,Mystery,Joel Edgerton,108,43.8,74
Deadpool,Action,Tim Miller,108,363,73
The Assassination of Jesse James by the Coward Robert Ford,Biography,Andrew Dominik,160,3.9,72
The Conjuring,Horror,James Wan,112,137.4,72
The Guest,Thriller,Adam Wingard,100,0.3,72
The Illusionist,Drama,Neil Burger,110,39.8,72
Brave,Animation,Mark Andrews,93,237.3,71
The Cabin in the Woods,Horror,Drew Goddard,95,42,71
John Wick,Action,Chad Stahelski,101,43,70
Public Enemies,Biography,Michael Mann,140,97,70
The Drop,Crime,Michaël R. Roskam,106,10.7,70
The Hunger Games,Adventure,Gary Ross,142,408,70
Coherence,Mystery,James Ward Byrkit,89,0.1,69
Pitch Perfect,Comedy,Jason Moore,112,65,69
Split,Horror,M. Night Shyamalan,117,138.1,68
Sherlock Holmes,Action,Guy Ritchie,128,209,67
The Boy in the Striped Pyjamas,Drama,Mark Herman,94,9,67
1408,Fantasy,Mikael Håfström,104,72,66
Snowden,Biography,Oliver Stone,134,21.5,66
Ted,Comedy,Seth MacFarlane,106,218.6,66
Sausage Party,Animation,Greg Tiernan,89,97.7,65
The Mist,Horror,Frank Darabont,126,25.6,65
Trust,Crime,David Schwimmer,106,0.1,65
