Title,Genre,Director,Runtime,Revenue,AvgRating
The Guest,Thriller,Adam Wingard,100,0.32,72
2307: Winter's Dream,Sci-Fi,Joey Curtis,101,20.76,47
The Happening,Sci-Fi,M. Night Shyamalan,91,64.51,42
Source Code,Mystery,Duncan Jones,93,54.7,75
The Ghost Writer,Mystery,Roman Polanski,128,15.52,75
The Gift,Mystery,Joel Edgerton,108,43.77,74
Shutter Island,Mystery,Martin Scorsese,138,127.97,72
Super 8,Mystery,J.J. Abrams,112,126.98,72
Coherence,Mystery,James Ward Byrkit,89,0.07,69
Limitless,Mystery,Neil Burger,105,79.24,67
Enemy,Mystery,Denis Villeneuve,91,1.01,65
The Da Vinci Code,Mystery,Ron Howard,149,217.54,56
The Loft,Mystery,Erik Van Looy,108,5.98,44
The Boy Next Door,Mystery,Rob Cohen,91,35.39,38
It Follows,Horror,David Robert Mitchell,100,14.67,76
The VVitch: A New-England Folktale,Horror,Robert Eggers,92,25.14,76
The Conjuring,Horror,James Wan,112,137.39,72
The Cabin in the Woods,Horror,Drew Goddard,95,42.04,71
The Conjuring 2,Horror,James Wan,134,102.46,70
Split,Horror,M. Night Shyamalan,117,138.12,68
The Mist,Horror,Frank Darabont,126,25.59,65
Oculus,Horror,Mike Flanagan,104,27.69,63
Ouija: Origin of Evil,Horror,Mike Flanagan,99,34.9,63
The Blackcoat's Daughter,Horror,Oz Perkins,93,0.02,62
Lights Out,Horror,David F. Sandberg,81,67.24,61
Sinister,Horror,Scott Derrickson,110,48.06,61
Insidious,Horror,James Wan,103,53.99,60
Mama,Horror,Andrés Muschietti,100,71.59,60
The Midnight Meat Train,Horror,Ryûhei Kitamura,98,0.07,60
The Void,Horror,Jeremy Gillespie,90,0.15,60
The Hills Have Eyes,Horror,Alexandre Aja,107,41.78,58
Friend Request,Horror,Simon Verhoeven,92,64.03,57
Scream 4,Horror,Wes Craven,111,38.18,57
The Neon Demon,Horror,Nicolas Winding Refn,118,1.33,57
Orphan,Horror,Jaume Collet-Serra,123,41.57,56
Final Destination 5,Horror,Steven Quale,92,42.58,55
Texas Chainsaw 3D,Horror,John Luessenhop,92,34.33,55
The Strangers,Horror,Bryan Bertino,86,52.53,55
Morgan,Horror,Luke Scott,92,3.91,53
Hostel: Part II,Horror,Eli Roth,94,17.54,51
The Boy,Horror,William Brent Bell,97,35.79,51
Clown,Horror,Jon Watts,100,0.05,50
Blair Witch,Horror,Adam Wingard,89,20.75,49
The Purge,Horror,James DeMonaco,85,64.42,49
Annabelle,Horror,John R. Leonetti,99,84.26,46
Friday the 13th,Horror,Marcus Nispel,97,65,45
31,Horror,Rob Zombie,102,0.78,43
The Human Centipede (First Sequence),Horror,Tom Six,92,0.18,39
1408,Fantasy,Mikael Håfström,104,71.98,66
Evil Dead,Fantasy,Fede Alvarez,91,54.24,61
Boyhood,Drama,Richard Linklater,165,25.36,90
Pan's Labyrinth,Drama,Guillermo del Toro,118,37.62,90
Manchester by the Sea,Drama,Kenneth Lonergan,137,47.7,88
Gravity,Drama,Alfonso Cuarón,91,274.08,87
Moonlight,Drama,Barry Jenkins,111,27.85,87
The Lives of Others,Drama,Florian Henckel von Donnersmarck,137,11.28,87
There Will Be Blood,Drama,Paul Thomas Anderson,158,40.22,87
Whiplash,Drama,Damien Chazelle,107,13.09,87
Her,Drama,Spike Jonze,126,25.56,85
The Hurt Locker,Drama,Kathryn Bigelow,131,15.7,85
Zero Dark Thirty,Drama,Kathryn Bigelow,157,95.72,85
Carol,Drama,Todd Haynes,118,0.25,84
